date,close,slow_ma_130SMA,fast_ma_44SMA
2021-09-14,47092.4921875,40567.156700721156,46523.51473721591
2021-09-15,48176.34765625,40485.40724158654,46727.47842684659
2021-09-16,47783.359375,40405.03064903846,46946.35067471591
2021-09-17,47267.51953125,40338.93620793269,47117.26012073864
2021-09-18,48278.36328125,40274.11920072115,47285.642134232956
2021-09-19,47260.21875,40259.57830528846,47386.6357421875
2021-09-20,42843.80078125,40206.71376201923,47347.72665127841
2021-09-21,40693.67578125,40136.04561298077,47277.17116477273
2021-09-22,43574.5078125,40111.540384615386,47213.741743607956
2021-09-23,44895.09765625,40099.53299278846,47198.06143465909
2021-09-24,42839.75,40094.165594951926,47135.473100142044
2021-09-25,42716.59375,40092.68245192308,47096.57093394886
2021-09-26,43208.5390625,40140.42166466346,46992.37136008523
2021-09-27,42235.73046875,40151.59852764423,46881.889204545456
2021-09-28,41034.54296875,40180.289693509614,46745.242365056816
2021-09-29,41564.36328125,40211.27223557692,46644.330522017044
2021-09-30,43790.89453125,40280.659254807695,46623.77450284091
2021-10-01,48116.94140625,40353.05126201923,46699.13254616477
2021-10-02,47711.48828125,40424.660997596155,46721.72141335227
2021-10-03,48199.953125,40493.166796875,46695.82998934659
2021-10-04,49112.90234375,40575.289362980766,46700.54385653409
2021-10-05,51514.8125,40696.96018629808,46750.38840553977
2021-10-06,55361.44921875,40856.54005408654,46882.55433238636
2021-10-07,53805.984375,40995.98509615385,47021.187677556816
2021-10-08,53967.84765625,41123.94657451923,47134.98446377841
2021-10-09,54968.22265625,41264.587319711536,47317.39364346591
2021-10-10,54771.578125,41396.86730769231,47447.23251065341
2021-10-11,57484.7890625,41537.45210336539,47642.28675426136
2021-10-12,56041.05859375,41684.73404447115,47806.178267045456
2021-10-13,57401.09765625,41852.80435697115,48041.317205255684
2021-10-14,57321.5234375,42017.874699519234,48272.108931107956
2021-10-15,61593.94921875,42233.51502403846,48561.811700994316
2021-10-16,60892.1796875,42444.43461538461,48824.64026988636
2021-10-17,61553.6171875,42630.65381610577,49086.64577414773
2021-10-18,62026.078125,42825.44981971154,49361.22425426136
2021-10-19,64261.9921875,43032.58515625,49645.510209517044
2021-10-20,65992.8359375,43266.74146634615,49949.130681818184
2021-10-21,62210.171875,43444.52848557692,50299.108931107956
2021-10-22,60692.265625,43602.01917067308,50630.94699928977
2021-10-23,61393.6171875,43763.460306490386,50971.90598366477
2021-10-24,60930.8359375,43937.181640625,51336.608842329544
2021-10-25,63039.82421875,44129.38410456731,51742.02627840909
2021-10-26,60363.79296875,44318.43446514423,52067.03817471591
2021-10-27,58482.38671875,44494.33073918269,52374.29527698864
2021-10-28,60622.13671875,44686.05258413462,52681.78719815341
2021-10-29,62227.96484375,44921.062364783655,53001.142134232956
2021-10-30,61888.83203125,45147.08676382212,53321.72105823864
2021-10-31,61318.95703125,45359.363146033655,53641.07191051136
2021-11-01,61004.40625,45561.993674879806,53930.30015980114
2021-11-02,63226.40234375,45804.98308293269,54293.16796875
2021-11-03,62970.046875,46041.78131009615,54750.58265269886
2021-11-04,61452.23046875,46247.955048076925,55222.367986505684
2021-11-05,61125.67578125,46453.273046875,55621.25816761364
2021-11-06,61527.48046875,46650.65537860577,55999.26686789773
2021-11-07,63326.98828125,46868.24116586539,56464.885919744316
