slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,signal_tf,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
200,EMA,20,SMA,True,False,True,3.0,1.0,True,4.0,W,2021-04-14,2026-04-02,7,37.79,13.05,1377.93,10.11,1.291,False,28.57,3.451,6.46,0.275,31.85,-3.69,59.27,-4.0,4,57.1,VOO,2021_default,equity_quick
200,SMA,20,SMA,True,False,True,4.0,1.0,True,4.0,W,2021-04-14,2026-04-02,7,55.76,13.98,1557.56,10.86,1.287,False,28.57,4.405,9.38,0.303,42.47,-3.86,79.02,-4.0,4,57.1,VOO,2021_default,equity_quick
130,EMA,44,SMA,True,True,True,2.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,77.81,20.5,1778.09,15.96,1.285,False,60.0,4.831,15.17,0.505,31.87,-9.9,59.67,-15.96,0,0.0,VOO,2021_default,equity_quick
100,SMA,20,SMA,True,True,True,2.0,1.0,True,15.0,W,2021-04-14,2026-04-02,5,81.35,18.94,1813.53,15.0,1.263,False,80.0,6.247,15.74,0.497,23.43,-15.0,67.74,-15.0,1,20.0,VOO,2021_default,equity_quick
200,EMA,60,SMA,True,True,True,3.0,1.0,True,15.0,W,2021-04-14,2026-04-02,5,77.84,19.99,1778.43,15.97,1.252,False,60.0,6.205,16.81,0.413,33.39,-8.07,87.9,-15.0,1,20.0,VOO,2021_default,equity_quick
200,EMA,20,SMA,True,True,True,2.0,1.0,True,15.0,W,2021-04-14,2026-04-02,6,77.54,19.92,1775.45,15.97,1.247,False,66.67,6.257,14.14,0.372,25.25,-8.07,90.4,-15.0,1,16.7,VOO,2021_default,equity_quick
160,EMA,44,SMA,True,True,True,2.0,1.0,True,12.0,W,2021-04-14,2026-04-02,5,77.35,18.56,1773.48,14.95,1.242,False,40.0,4.488,19.08,0.369,61.37,-9.12,109.82,-12.0,2,40.0,VOO,2021_default,equity_quick
200,EMA,60,SMA,True,False,True,4.0,1.0,False,2.0,D,2021-04-14,2026-04-02,29,182.59,44.73,2825.88,36.29,1.233,False,34.48,2.849,5.16,0.252,23.07,-4.26,70.3,-9.29,0,0.0,VOO,2021_default,equity_quick
200,EMA,60,SMA,True,False,True,4.0,1.0,True,12.0,D,2021-04-14,2026-04-02,29,182.59,44.73,2825.88,36.29,1.233,False,34.48,2.849,5.16,0.252,23.07,-4.26,70.3,-9.29,0,0.0,VOO,2021_default,equity_quick
200,EMA,60,SMA,True,False,True,4.0,1.0,True,15.0,D,2021-04-14,2026-04-02,29,182.59,44.73,2825.88,36.29,1.233,False,34.48,2.849,5.16,0.252,23.07,-4.26,70.3,-9.29,0,0.0,VOO,2021_default,equity_quick
160,SMA,60,SMA,True,False,True,4.0,1.0,False,2.0,D,2021-04-14,2026-04-02,25,112.4,27.59,2123.97,22.92,1.204,False,36.0,2.804,4.13,0.243,17.82,-3.58,67.68,-6.63,0,0.0,VOO,2021_default,equity_quick
160,SMA,60,SMA,True,False,True,4.0,1.0,True,8.0,D,2021-04-14,2026-04-02,25,112.4,27.59,2123.97,22.92,1.204,False,36.0,2.804,4.13,0.243,17.82,-3.58,67.68,-6.63,0,0.0,VOO,2021_default,equity_quick
160,SMA,60,SMA,True,False,True,4.0,1.0,True,12.0,D,2021-04-14,2026-04-02,25,112.4,27.59,2123.97,22.92,1.204,False,36.0,2.804,4.13,0.243,17.82,-3.58,67.68,-6.63,0,0.0,VOO,2021_default,equity_quick
160,SMA,60,SMA,True,False,True,4.0,1.0,True,15.0,D,2021-04-14,2026-04-02,25,112.4,27.59,2123.97,22.92,1.204,False,36.0,2.804,4.13,0.243,17.82,-3.58,67.68,-6.63,0,0.0,VOO,2021_default,equity_quick
160,EMA,60,SMA,True,False,True,4.0,1.0,True,8.0,D,2021-04-14,2026-04-02,29,185.51,45.54,2855.1,37.86,1.203,False,34.48,2.886,5.2,0.254,23.07,-4.21,70.3,-8.0,2,6.9,VOO,2021_default,equity_quick
130,EMA,60,SMA,True,True,True,3.0,1.0,False,2.0,W,2021-04-14,2026-04-02,6,96.17,24.22,1961.68,20.25,1.196,False,50.0,3.66,17.68,0.412,48.66,-13.29,87.9,-20.25,0,0.0,VOO,2021_default,equity_quick
100,EMA,60,SMA,True,True,True,4.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,138.14,32.16,2381.38,27.0,1.191,False,60.0,4.634,29.72,0.485,63.16,-20.44,117.2,-27.0,0,0.0,VOO,2021_default,equity_quick
160,EMA,44,SMA,True,True,True,3.0,1.0,True,4.0,W,2021-04-14,2026-04-02,7,38.55,9.34,1385.49,7.84,1.191,False,28.57,3.17,6.2,0.302,31.7,-4.0,50.47,-4.0,5,71.4,VOO,2021_default,equity_quick
100,EMA,60,SMA,True,True,True,3.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,102.05,23.76,2020.51,20.25,1.173,False,60.0,4.186,21.75,0.467,47.63,-17.07,87.9,-20.25,0,0.0,VOO,2021_default,equity_quick
160,SMA,44,SMA,True,False,True,4.0,1.0,False,2.0,D,2021-04-14,2026-04-02,24,101.24,24.85,2012.38,21.3,1.166,False,29.17,2.654,4.18,0.226,22.99,-3.57,73.69,-9.24,0,0.0,VOO,2021_default,equity_quick
160,SMA,44,SMA,True,False,True,4.0,1.0,True,12.0,D,2021-04-14,2026-04-02,24,101.24,24.85,2012.38,21.3,1.166,False,29.17,2.654,4.18,0.226,22.99,-3.57,73.69,-9.24,0,0.0,VOO,2021_default,equity_quick
160,SMA,44,SMA,True,False,True,4.0,1.0,True,15.0,D,2021-04-14,2026-04-02,24,101.24,24.85,2012.38,21.3,1.166,False,29.17,2.654,4.18,0.226,22.99,-3.57,73.69,-9.24,0,0.0,VOO,2021_default,equity_quick
