slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,atr_sl_enable,atr_sl_len,atr_sl_mult,signal_tf,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
100,SMA,30,SMA,True,True,True,4.0,1.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,135,2115.82,428.38,22158.19,64.05,6.689,False,20.0,2.641,5.64,0.154,45.4,-4.3,224.49,-6.0,61,45.2,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,2.0,1.25,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,81,1063.48,217.37,11634.78,33.04,6.578,False,23.46,3.002,4.71,0.209,30.09,-3.07,111.92,-4.0,39,48.1,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,3.0,2.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,81,1466.2,299.68,15662.01,45.56,6.577,False,22.22,2.828,6.63,0.196,46.18,-4.66,167.89,-6.0,41,50.6,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,4.0,2.0,True,12.0,False,14,2.5,D,2021-04-14,2026-04-03,68,2227.09,455.2,23270.89,70.09,6.495,False,26.47,2.634,10.29,0.226,62.69,-8.57,208.81,-12.0,24,35.3,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,2.0,1.25,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,107,1593.28,322.59,16932.83,50.53,6.384,False,23.36,2.49,4.41,0.193,31.56,-3.86,111.92,-6.0,36,33.6,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,3.0,2.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,68,1597.09,326.43,16970.88,51.39,6.352,False,22.06,2.861,7.68,0.224,53.54,-5.3,156.61,-6.0,41,60.3,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,2.0,1.25,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,81,1033.61,211.26,11336.07,33.3,6.344,False,24.69,2.69,4.82,0.207,31.09,-3.79,111.92,-6.0,27,33.3,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,2.0,1.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,107,1465.63,296.74,15656.32,46.85,6.334,False,23.36,2.556,4.24,0.19,29.83,-3.56,111.92,-6.0,30,28.0,BTC-USD,2021_default,btc_quick
100,SMA,60,SMA,True,True,True,3.0,1.25,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,94,1530.62,309.9,16306.19,49.03,6.32,False,19.15,2.864,5.4,0.189,43.3,-3.58,156.61,-4.0,60,63.8,BTC-USD,2021_default,btc_quick
160,SMA,44,SMA,True,True,True,4.0,1.25,True,12.0,False,14,2.5,D,2021-04-14,2026-04-03,92,1915.19,392.55,20151.88,62.31,6.3,False,22.83,2.685,7.9,0.184,55.14,-6.07,223.85,-12.0,19,20.7,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,3.0,2.0,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,108,1681.04,340.35,17810.38,54.05,6.297,False,16.67,2.714,5.28,0.175,50.12,-3.69,167.89,-4.0,78,72.2,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,3.0,1.25,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,68,1518.79,310.43,16187.88,50.08,6.199,False,23.53,2.95,7.31,0.222,46.98,-4.9,156.61,-6.0,34,50.0,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,4.0,1.25,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,81,1272.84,260.16,13728.44,42.63,6.103,False,17.28,3.34,6.46,0.177,53.32,-3.34,223.85,-4.0,50,61.7,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,3.0,1.0,True,12.0,False,14,2.5,D,2021-04-14,2026-04-03,107,1722.3,348.71,18223.02,57.76,6.037,False,23.36,2.505,5.79,0.177,41.28,-5.02,167.89,-12.0,15,14.0,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,3.0,2.0,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,68,1144.04,233.83,12440.45,38.93,6.007,False,19.12,3.11,6.39,0.213,49.29,-3.75,156.61,-4.0,48,70.6,BTC-USD,2021_default,btc_quick
100,SMA,60,SMA,True,True,True,4.0,1.0,True,9.0,False,14,2.5,D,2021-04-14,2026-04-03,94,2130.62,431.38,22306.23,73.31,5.885,False,22.34,2.657,7.92,0.188,56.86,-6.16,208.81,-9.0,33,35.1,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,3.0,1.0,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,108,1333.75,270.04,14337.51,45.96,5.875,False,17.59,2.824,4.78,0.167,42.08,-3.18,167.89,-4.0,61,56.5,BTC-USD,2021_default,btc_quick
