allow_longs,allow_shorts,anchor_year,ann_return,atr_entry_enable,atr_entry_len,atr_long_mult,atr_short_mult,atr_sl_enable,atr_sl_len,atr_sl_mult,avg_loss,avg_win,calmar,end_capital,expectancy,fast_ma_len,fast_ma_type,leverage_long,leverage_short,liq_risk,max_dd,max_loss,max_win,period_end,period_start,pl_pct,profit_factor,sharpe_trade,signal_tf,sl_enable,sl_hit_rate,sl_hits,sl_risk_pct,slow_ma_len,slow_ma_type,stage,trades,trail_activate_pct,trail_atr_factor,trail_atr_len,trail_sl_enable,use_fast_ma,win_rate,window_end,window_start
True,True,2021,1915.24,False,14,1.7,1.5,False,14,2.5,-4.95,1803.38,51.913,12011.63,175.88,60,SMA,4.0,1.25,False,36.89,-8.0,1803.38,2021-04-01,2020-04-01,1101.16,40.44,0.308,D,True,30.0,3,8.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1942.9,False,14,1.7,1.5,False,14,2.5,-3.58,124.86,91.524,11904.71,26.64,30,SMA,3.0,2.0,False,21.23,-4.0,207.46,2021-04-01,2020-04-01,1090.47,10.738,0.387,D,True,58.8,10,4.0,100,SMA,coarse,17,5.0,2.0,14,False,True,23.53,2021-04-01,2020-04-01
True,True,2021,1868.09,False,14,1.7,1.5,False,14,2.5,-5.82,103.98,57.538,11740.55,28.49,30,SMA,3.0,1.0,False,32.47,-12.0,207.46,2021-04-01,2020-04-01,1074.06,8.117,0.401,D,True,25.0,4,12.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,1850.87,False,14,1.7,1.5,False,14,2.5,-5.19,1803.38,47.657,11641.57,175.67,60,SMA,4.0,0.5,False,38.84,-12.0,1803.38,2021-04-01,2020-04-01,1064.16,38.637,0.307,D,True,30.0,3,12.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1847.85,False,14,1.7,1.5,False,14,2.5,-5.29,1803.38,47.468,11624.19,175.58,60,SMA,4.0,1.25,False,38.93,-9.0,1803.38,2021-04-01,2020-04-01,1062.42,37.891,0.307,D,True,30.0,3,9.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1833.46,False,14,1.7,1.5,False,14,2.5,-2.51,1352.53,89.252,11541.44,132.99,60,SMA,3.0,0.5,False,20.54,-4.0,1352.53,2021-04-01,2020-04-01,1054.14,59.813,0.31,D,True,40.0,4,4.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1832.43,False,14,1.7,1.5,False,14,2.5,-5.4,1803.38,46.515,11535.53,175.47,60,SMA,4.0,2.0,False,39.39,-6.0,1803.38,2021-04-01,2020-04-01,1053.55,37.074,0.307,D,True,70.0,7,6.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1804.59,False,14,1.7,1.5,False,14,2.5,-6.16,103.98,49.139,11375.48,28.26,30,SMA,3.0,2.0,False,36.72,-9.0,207.46,2021-04-01,2020-04-01,1037.55,7.674,0.398,D,True,37.5,6,9.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,1799.23,False,14,1.7,1.5,False,14,2.5,-6.12,103.98,51.785,11344.64,28.28,30,SMA,3.0,1.25,False,34.74,-12.0,207.46,2021-04-01,2020-04-01,1034.46,7.719,0.398,D,True,25.0,4,12.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,1729.31,False,14,1.7,1.5,False,14,2.5,-3.07,1352.53,70.111,10942.62,132.49,60,SMA,3.0,0.5,False,24.67,-6.0,1352.53,2021-04-01,2020-04-01,994.26,48.9,0.309,D,True,30.0,3,6.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1718.22,False,14,1.7,1.5,False,14,2.5,-5.92,1803.38,40.104,10878.89,175.01,60,SMA,4.0,1.0,False,42.84,-12.0,1803.38,2021-04-01,2020-04-01,987.89,33.842,0.306,D,True,30.0,3,12.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1698.52,False,14,1.7,1.5,False,14,2.5,-6.11,1803.38,39.101,10765.62,174.84,60,SMA,4.0,2.0,False,43.44,-8.0,1803.38,2021-04-01,2020-04-01,976.56,32.793,0.306,D,True,50.0,5,8.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1697.42,False,14,1.7,1.5,False,14,2.5,-3.27,1352.53,65.469,10759.32,132.31,60,SMA,3.0,1.0,False,25.93,-4.0,1352.53,2021-04-01,2020-04-01,975.93,45.903,0.309,D,True,60.0,6,4.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1654.41,False,14,1.7,1.5,False,14,2.5,-6.29,1803.38,36.952,10512.03,174.68,60,SMA,4.0,1.25,False,44.77,-12.0,1803.38,2021-04-01,2020-04-01,951.2,31.865,0.305,D,True,30.0,3,12.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1646.44,False,14,1.7,1.5,False,14,2.5,-3.57,1352.53,58.916,10466.16,132.04,60,SMA,3.0,1.25,False,27.95,-4.0,1352.53,2021-04-01,2020-04-01,946.62,42.067,0.308,D,True,70.0,7,4.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1610.39,False,14,1.7,1.5,False,14,2.5,-3.74,1352.53,54.827,10258.91,131.89,60,SMA,3.0,0.5,False,29.37,-8.0,1352.53,2021-04-01,2020-04-01,925.89,40.183,0.307,D,True,30.0,3,8.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1605.34,False,14,1.7,1.5,False,14,2.5,-3.82,1352.53,54.286,10229.89,131.82,60,SMA,3.0,2.0,False,29.57,-4.0,1352.53,2021-04-01,2020-04-01,922.99,39.35,0.307,D,True,80.0,8,4.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1604.62,False,14,1.7,1.5,False,14,2.5,-3.81,1352.53,54.209,10225.73,131.83,60,SMA,3.0,1.0,False,29.6,-6.0,1352.53,2021-04-01,2020-04-01,922.57,39.465,0.307,D,True,30.0,3,6.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1603.12,False,14,1.7,1.5,False,14,2.5,-7.02,103.98,38.883,10217.13,27.66,30,SMA,3.0,2.0,False,41.23,-12.0,207.46,2021-04-01,2020-04-01,921.71,6.728,0.388,D,True,25.0,4,12.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
